PALABRAS OFUSCADAS

1) acActividad	dfFfylalidi
2) acActivity	dfFfylalyb
3) actActividad	dfyFfylalidi
4) alCardDetectDisabled	dqBdwiWhyhfyWlvdgqhi
5) alCardDetectEnabled	dqBdwiWhyhfyXsdgqhi
6) alCardDetectLoop	dqBdwiWhyhfyYrru
7) alCrearCampo55	dqBwhdwBdpur55
8) alCrearRespuestaMSR1	dqBwhdwGhvuxhvydPNG1
9) alEmv_Disable	dqXpa_Wlvdgqh
10) alEmvEnabled	dqXpaXsdgqhi
11) alEndEmv	dqXsiXpa
12) alMsrDisable	dqPvwWlvdgqh
13) alMsrEnable	dqPvwXsdgqh
14) alMsrRead	dqPvwGhdi
15) alObjarray	dqRgodwwdb
16) alObjarray1	dqRgodwwdb1
17) alObjarray3	dqRgodwwdb3
18) alPedEnable	dqUhiXsdgqh
19) alPedGetPin	dqUhiZhyUls
20) alSetArraylist	dqNhyFwwdbqlvy
21) alSetObjarray	dqNhyRgodwwdb
22) alSmarCardActivate	dqNpdwBdwiFfyladyh
23) alSmartCard_Deactivate	dqNpdwyBdwi_Whdfyladyh
24) alSmartCardDetect	dqNpdwyBdwiWhyhfy
25) alSmartCardEnabled	dqNpdwyBdwiXsdgqhi
26) alStarOfflineTransaction	dqNydwRkkqlshQwdsvdfylrs
27) alStarOnlineTransaction	dqNydwRsqlshQwdsvdfylrs
28) alStarTransaction	dqNydwQwdsvdfylrs
29) alSystem_Abort	dqNbvyhp_Fgrwy
30) alSystem_Get_Battery	dqNbvyhp_Zhy_Idyyhwb
31) alSystem_Get_Date	dqNbvyhp_Zhy_Wdyh
32) alSystem_Get_InformationPinpad	dqNbvyhp_Zhy_TskrwpdylrsUlsudi
33) alSystem_Get_Tamper	dqNbvyhp_Zhy_Qdpuhw
34) alUnirCampos	dqHslwBdpurv
35) alValidarEmvStatusCode	dqCdqlidwXpaNydyxvBrih
36) asData	dvWdyd
37) asTLVDataDictionary	dvQYCWdydWlfylrsdwb
38) blCheckSW2	gqBmhfnNJ2
39) blConectar	gqBrshfydw
40) blDialogChip	gqWldqrjBmlu
41) blEnviarComando	gqXsaldwBrpdsir
42) blFlagDetectCard	gqSqdjWhyhfyBdwi
43) blFlagDetectCard1	gqSqdjWhyhfyBdwi1
44) blSendOK	gqNhsiRV
45) blTransaccion	gqQwdsvdfflrs
46) blValidacion	gqCdqlidflrs
47) blValidarErrorDispositivo	gqCdqlidwXwwrwWlvurvlylar
48) blValidarErrorTransporte	gqCdqlidwXwwrwQwdsvurwyh
49) blValidarRespuestaGetSystem	gqCdqlidwGhvuxhvydZhyNbvyhp
50) blValidarRespuestaSW1	gqCdqlidwGhvuxhvydNJ1
51) blValidarRespuestaSW1SW2	gqCdqlidwGhvuxhvydNJ1NJ2
52) btAuthStep1	gyFxymNyhu1
53) btAuthStep2	gyFxymNyhu2
54) btCreateResponseCallback	gyBwhdyhGhvursvhBdqqgdfn
55) btData	gyWdyd
56) btDataDictionaryToTLVData	gyWdydWlfylrsdwbQrQYCWdyd
57) btGetCMACForData	gyZhyBPFBSrwWdyd
58) btGetDukptKey	gyZhyWxnuyVhb
59) btGetResponse	gyZhyGhvursvh
60) btGetTLVFromResponse	gyZhyQYCSwrpGhvursvh
61) btHeaderForDataWithTag	gyAhdihwSrwWdydJlymQdj
62) btHexStringToByteArray(	gyAhcNywlsjQrIbyhFwwdb(
63) btJackRandom	gyOdfnGdsirp
64) btJackSerial	gyOdfnNhwldq
65) btJackToken	gyOdfnQrnhs
66) btMakesredKey	gyPdnhvwhiVhb
67) btObtenerComando	gyRgyhshwBrpdsir
68) btRespuesta	gyGhvuxhvyd
69) btRespuesta	gyGhvuxhvyd
70) btRespuesta	gyGhvuxhvyd
71) btServerRandom	gyNhwahwGdsirp
72) btServerToken	gyNhwahwQrnhs
73) btSessionKey	gyNhvvlrsVhb
74) btSredDecryptCiphered32ksn10	gyNwhiWhfwbuyBlumhwhi32nvs10
75) btStartAuthentication	gyNydwyFxymhsylfdylrs
76) btTlvDataToDataDictionary	gyQqaWdydQrWdydWlfylrsdwb
77) btXorDataWithData	gyMrwWdydJlymWdyd
78) callback	fdqqgdfn
79) Clase_Callback	Bqdvh_Bdqqgdfn
80) Clase_CallbackHandler	Bqdvh_BdqqgdfnAdsiqhw
81) Clase_Callbacks	Bqdvh_Bdqqgdfnv
82) Clase_Comandos	Bqdvh_Brpdsirv
83) Clase_Crypto	Bqdvh_Bwbuyr
84) Clase_End_Emv	Bqdvh_Xsi_Xpa
85) Clase_Error	Bqdvh_Xwwrw
86) Clase_Formato	Bqdvh_Srwpdyr
87) Clase_Gui	Bqdvh_Zxl
88) Clase_IJackException	Bqdvh_TOdfnXcfhuylrs
89) Clase_IJackRequest	Bqdvh_TOdfnGhtxhvy
90) Clase_IJackResponse	Bqdvh_TOdfnGhvursvh
91) Clase_IJackServer	Bqdvh_TOdfnNhwahw
92) Clase_IJackTransport	Bqdvh_TOdfnQwdsvurwy
93) Clase_IJackValues	Bqdvh_TOdfnCdqxhv
94) Clase_Inf_PinPad	Bqdvh_Tsk_UlsUdi
95) Clase_Inicial	Bqdvh_Tslfldq
96) Clase_primerCertificado	Bqdvh_uwlphwBhwylklfdir
97) Clase_ResponseHolder	Bqdvh_GhvursvhArqihw
98) Clase_SecureChannel	Bqdvh_NhfxwhBmdsshq
99) Clase_segundoCertificado	Bqdvh_vhjxsirBhwylklfdir
100) Clase_StringUtils	Bqdvh_NywlsjHylqv
101) Clase_Tamper	Bqdvh_Qdpuhw
102) Clase_TLVHelper	Bqdvh_QYCAhquhw
103) clCallbackHandlererfaz_Callback	fqBdqqgdfnAdsiqhwhwkde_Bdqqgdfn
104) clComando	fqBrpdsir
105) clCuadroDialogo	fqBxdiwrWldqrjr
106) clGetAlertDialog	fqZhyFqhwyWldqrj
107) clGetCommandMessage	fqZhyBrppdsiPhvvdjh
108) clGetInstance	fqZhyTsvydsfh
109) clGetResponse	fqZhyGhvursvh
110) clIJackMsj	fqTOdfnPvo
111) clMsrRead	fqPvwGhdi
112) clObj_CC	fqRgo_BB
113) clObj_CE	fqRgo_BX
114) clObj_CF	fqRgo_BS
115) clObj_CG	fqRgo_BZ
116) clObj_Emv1	fqRgo_Xpa1
117) clObj_Emv2	fqRgo_Xpa2
118) clObj_EVE105	fqRgo_XCX105
119) clObj_ijackServer	fqRgo_lodfnNhwahw
120) clObj_IJackTransport	fqRgo_TOdfnQwdsvurwy
121) clObj_ijRequest	fqRgo_loGhtxhvy
122) clObj_ijResponse	fqRgo_loGhvursvh
123) clObj_responseHolder	fqRgo_whvursvhArqihw
124) clObtenerIJackComando	fqRgyhshwTOdfnBrpdsir
125) clResponses	fqGhvursvhv
126) command	frppdsi
127) dataFromJack	idydSwrpOdfn
128) dataType	idydQbuh
129) decryptByte	ihfwbuyIbyh
130) dictionary	ilfylrsdwb
131) dictionaryToCOLData	ilfylrsdwbQrBRYWdyd
132) dictionaryToData	ilfylrsdwbQrWdyd
133) EMV_STATUS_CODES	XPC_NQFQHN_BRWXN
134) encryptByte	hsfwbuyIbyh
135) Error_Abrir_MSR	Xwwrw_Fgwlw_PNG
136) Error_Activate_ICC	Xwwrw_Ffyladyh_TBB
137) Error_App_Blocked	Xwwrw_Fuu_Iqrfnhi
138) Error_Comunicacion	Xwwrw_Brpxslfdflrs
139) Error_Detect_ICC	Xwwrw_Whyhfy_TBB
140) Error_Emv_StatusCode	Xwwrw_Xpa_NydyxvBrih
141) Error_Fallback_ServiceCode	Xwwrw_Sdqqgdfn_NhwalfhBrih
142) Error_Fin_ICC	Xwwrw_Sls_TBB
143) Error_Fin_MSR	Xwwrw_Sls_PNG
144) Error_Inicio_ICC	Xwwrw_Tslflr_TBB
